file	date	line_shape	line_no	category	disposition	rationale
.claude/skills/moai-foundation-core/modules/spec-ddd-implementation.md	2026-01-17	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/spec-ears-format.md	2026-01-06	LS-PROSE-STAMP	208	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/spec-ears-format.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/spec-first-ddd.md	2026-01-17	LS-PROSE-STAMP	189	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/spec-first-ddd.md	2026-01-17	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/spec-first-ddd.md	2026-11-22	LS-OTHER	38	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-core/modules/trust-5-framework.md	2026-01-06	LS-PROSE-STAMP	238	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/trust-5-framework.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/trust-5-implementation.md	2026-01-06	LS-PROSE-STAMP	244	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/trust-5-implementation.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/trust-5-validation.md	2026-01-06	LS-PROSE-STAMP	219	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/trust-5-validation.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/references/examples.md	2026-11-22	LS-OTHER	72	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-core/references/reference.md	2026-11-22	LS-OTHER	20	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-core/SKILL.md	2026-07-10	LS-FM	23	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-foundation-core/SKILL.md	2026-11-22	LS-OTHER	115	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-quality/SKILL.md	2026-07-10	LS-FM	23	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-foundation-thinking/SKILL.md	2026-04-25	LS-FM	24	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-meta-harness/SKILL.md	2026-03-26	LS-OTHER	114	DC-5	PRESERVE	M2 adjudicated PRESERVE - public upstream repository creation date cited alongside star and fork counts
.claude/skills/moai-meta-harness/SKILL.md	2026-06-20	LS-FM	26	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-ref-api-patterns/SKILL.md	2026-03-30	LS-FM	21	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-ref-git-workflow/SKILL.md	2026-03-30	LS-FM	20	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-ref-llm-security/SKILL.md	2026-06-24	LS-FM	28	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-ref-owasp-checklist/SKILL.md	2026-03-30	LS-FM	20	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-ref-react-patterns/SKILL.md	2026-03-30	LS-FM	21	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-ref-secops/SKILL.md	2026-06-24	LS-FM	31	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-ref-supply-chain/SKILL.md	2026-06-24	LS-FM	29	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-ref-testing-pyramid/SKILL.md	2026-03-30	LS-FM	20	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-workflow-ci-loop/SKILL.md	2026-05-22	LS-FM	23	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-workflow-ddd/SKILL.md	2026-01-16	LS-FM	15	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-workflow-ddd/SKILL.md	2026-01-16	LS-PROSE-STAMP	392	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-docs-claim-check/SKILL.md	2026-07-24	LS-FM	23	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-workflow-loop/references/examples.md	2026-01-10	LS-PROSE-STAMP	1072	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-loop/references/reference.md	2026-01-10	LS-PROSE-STAMP	1427	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-loop/SKILL.md	2026-01-11	LS-FM	17	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-workflow-loop/SKILL.md	2026-01-11	LS-PROSE-STAMP	197	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-project/SKILL.md	2026-04-25	LS-FM	22	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-workflow-spec/references/worktree-workflow.md	2026-05-17	LS-OTHER	61	DC-5	REMOVE	M2 adjudicated REMOVE - internal policy-adoption date in a section heading
.claude/skills/moai-workflow-spec/references/worktree-workflow.md	2026-05-17	LS-OTHER	63	DC-5	REMOVE	M2 adjudicated REMOVE - internal policy-adoption date in prose
.claude/skills/moai-workflow-spec/SKILL.md	2026-01-08	LS-FM	21	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-workflow-spec/SKILL.md	2026-05-23	LS-PROSE-STAMP	310	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-tdd/SKILL.md	2026-02-03	LS-FM	22	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-workflow-tdd/SKILL.md	2026-02-03	LS-PROSE-STAMP	328	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/automated-code-review.md	2026-01-06	LS-PROSE-STAMP	213	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/automated-code-review/review-workflows.md	2026-01-06	LS-PROSE-STAMP	375	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/automated-code-review/trust5-framework.md	2026-01-06	LS-PROSE-STAMP	220	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/automated-code-review/trust5-framework/relevance-analysis.md	2026-01-06	LS-PROSE-STAMP	104	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/automated-code-review/trust5-framework/safety-analysis.md	2026-01-06	LS-PROSE-STAMP	103	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/automated-code-review/trust5-framework/scoring-algorithms.md	2026-01-06	LS-PROSE-STAMP	135	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/automated-code-review/trust5-framework/timeliness-analysis.md	2026-01-06	LS-PROSE-STAMP	117	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/automated-code-review/trust5-framework/truthfulness-analysis.md	2026-01-06	LS-PROSE-STAMP	93	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/automated-code-review/trust5-framework/usability-analysis.md	2026-01-06	LS-PROSE-STAMP	106	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/INDEX.md	2026-01-06	LS-PROSE-STAMP	238	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/quality-metrics.md	2026-01-06	LS-PROSE-STAMP	263	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/security-analysis.md	2026-01-06	LS-PROSE-STAMP	308	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/static-analysis.md	2026-01-06	LS-PROSE-STAMP	237	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/modules/trust5-validation.md	2026-01-06	LS-PROSE-STAMP	337	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-testing/SKILL.md	2026-07-10	LS-FM	22	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-workflow-testing/SKILL.md	2026-07-10	LS-PROSE-STAMP	190	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/integration-patterns.md	2026-01-06	LS-PROSE-STAMP	148	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/integration-patterns.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/moai-adk-integration.md	2026-01-06	LS-PROSE-STAMP	246	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/moai-adk-integration.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/parallel-advanced.md	2026-01-06	LS-PROSE-STAMP	309	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/parallel-advanced.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/parallel-development.md	2026-01-06	LS-PROSE-STAMP	201	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/parallel-development.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/parallel-workflows.md	2026-01-06	LS-PROSE-STAMP	301	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/parallel-workflows.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/registry-architecture.md	2026-01-06	LS-PROSE-STAMP	270	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/registry-architecture.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/resource-optimization.md	2026-01-06	LS-PROSE-STAMP	299	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/resource-optimization.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/tools-integration.md	2026-01-06	LS-PROSE-STAMP	279	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/tools-integration.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
